PlayerName,AV
Jorrick Calvin\CalvJo99,1
Roc Carmichael\CarmRo00,1
Matt Cavanaugh\CavaMa00,1
Quinton Caver\CaveQu20,1
Dick Chapura\ChapDi20,1
Je'Rod Cherry\CherJe20,1
Willie Clark\ClarWi20,1
Marco Coleman\ColeMa00,1
Darion Conner\ConnDa20,1
Rashard Cook\CookRa20,1
Louis Cooper\CoopLo20,1
Russell Copeland\CopeRu00,1
Bill Cowher\CowhBi20,1
Charles Crawford\CrawCh00,1
Scott Curtis\CurtSc20,1
Trey Darilek\DariTr20,1
Marcus Dowtin\DowtMa00,1
Joe Drake\DrakJo20,1
Anthony Edwards\EdwaAn00,1
Dannell Ellerbe\ElleDa99,1
Rick Engles\EnglRi20,1
Jim Flanigan\FlanJi21,1
Chris Fontenot\FontCh00,1
Todd France\franctod01,1
Frank Fuller\FullFr20,1
Clifton Geathers\GeatCl99,1
Roger Gill\GillRo00,1
Brad Goebel\GoebBr00,1
Chuck Gorecki\GoreCh20,1
Nick Graham\GrahNi99,1
Jamaal Green\GreeJa20,1
Elois Grooms\GrooEl20,1
Chad Hall\HallCh00,1
Daeshon Hall\HallDa01,1
Deiondre' Hall\HallDe02,1
Uhuru Hamiter\HamiUh20,1
Tim Harris\HarrTi00,1
Tyreo Harrison\HarrTy20,1
Taylor Hart\HartTa00,1
Jeff Herrod\HerrJe20,1
Treyvon Hester\HestTr00,1
Mark Higgs\HiggMa00,1
John Hightower\HighJo00,1
Austin Howard\HowaAu20,1
Michael Jacquet\JacqMi00,1
Craig James\JameCr01,1
Jaiquawn Jarrett\JarrJa00,1
Dietrich Jells\JellDi00,1
Reggie Johnson\JohnRe00,1
Jimmie Jones\JoneJi22,1
Luke Juriga\JuriLu00,1
Jake Knott\KnotJa00,1
Mike Labinjo\LabiMi20,1
Byron Lee\LeexBy20,1
